"address","assets","result","power"
"0x23639ea97561ec691695d98fd19e8a95d588452e","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""3000""}","{""hit4"":0,""hit3"":8,""hit2"":211,""hit1"":930,""hit0"":851}",1846
"0xdb432d0aa38ddd4ecc0d9e2b41433a284ba1d14b","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""1000""}","{""hit4"":0,""hit3"":5,""hit2"":128,""hit1"":453,""hit0"":414}",1010
"0x631fc1ea2270e98fbd9d92658ece0f5a269aa161","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""1009""}","{""hit4"":0,""hit3"":6,""hit2"":116,""hit1"":466,""hit0"":416}",984
"0x27a7f6fca0431c02c3c5fb6116ff019a25be526d","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""999""}","{""hit4"":0,""hit3"":3,""hit2"":112,""hit1"":439,""hit0"":445}",914
"0xf40565aebcd5d6fac69d892b328e2287b4cdfc68","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""750""}","{""hit4"":0,""hit3"":3,""hit2"":77,""hit1"":333,""hit0"":337}",668
"0x118fe9d1dc8efa98f3bf41618d9a3d7f049a61b1","{""TOKAU"":""1563000000"",""BUSD"":""0"",""BUSD-T"":""0""}","{""hit4"":0,""hit3"":3,""hit2"":49,""hit1"":214,""hit0"":255}",437
"0x278ab5fc4330f969091cce26564ee7eb4e62ae6b","{""TOKAU"":""30000000"",""BUSD"":""0"",""BUSD-T"":""262""}","{""hit4"":0,""hit3"":2,""hit2"":34,""hit1"":118,""hit0"":118}",272
"0xdf7f99cae4cdc8d6cf652aeadce2ccbd6015f5da","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""300""}","{""hit4"":0,""hit3"":1,""hit2"":29,""hit1"":138,""hit0"":132}",263
"0x713e26f096ed77f01cc7e418dc831262e8ab700d","{""TOKAU"":""300000000"",""BUSD"":""0"",""BUSD-T"":""75""}","{""hit4"":0,""hit3"":2,""hit2"":22,""hit1"":70,""hit0"":81}",176
"0xb2025c2ded0989d58eba57065e0d55a97e6f1295","{""TOKAU"":""641909514"",""BUSD"":""0"",""BUSD-T"":""0""}","{""hit4"":0,""hit3"":2,""hit2"":16,""hit1"":89,""hit0"":106}",171
"0xdcfb55c69eb40d86e628d6c01b1e9cb6db49a1ba","{""TOKAU"":""400000000"",""BUSD"":""0"",""BUSD-T"":""0""}","{""hit4"":0,""hit3"":1,""hit2"":12,""hit1"":64,""hit0"":56}",121
"0x2f78e5a5307850b383c6dc9a75a7a826c0a32481","{""TOKAU"":""300000000"",""BUSD"":""0"",""BUSD-T"":""0""}","{""hit4"":0,""hit3"":0,""hit2"":15,""hit1"":45,""hit0"":40}",105
"0x67f9815a32375c900952c3878b79b6772e408940","{""TOKAU"":""300000000"",""BUSD"":""0"",""BUSD-T"":""0""}","{""hit4"":0,""hit3"":0,""hit2"":12,""hit1"":49,""hit0"":39}",97
"0x61639272afef4af5c6dc13b370ffc7c11c04dabb","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""100""}","{""hit4"":0,""hit3"":1,""hit2"":8,""hit1"":48,""hit0"":43}",89
"0xb2a63f09aca8ffc641161209667bde6e48469434","{""TOKAU"":""300000000"",""BUSD"":""0"",""BUSD-T"":""0""}","{""hit4"":0,""hit3"":0,""hit2"":10,""hit1"":46,""hit0"":44}",86
"0x15f5ef980dbd94c32450a2fd25bf42844315f5fa","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""100""}","{""hit4"":0,""hit3"":0,""hit2"":9,""hit1"":50,""hit0"":41}",86
"0xbed1e379509dccb01e40d10824caca1d8686c80a","{""TOKAU"":""300000000"",""BUSD"":""0"",""BUSD-T"":""0""}","{""hit4"":0,""hit3"":0,""hit2"":10,""hit1"":44,""hit0"":46}",84
"0x2855eb1d3fcc5e01877278a4d5574b3556d1a33f","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""99""}","{""hit4"":0,""hit3"":0,""hit2"":11,""hit1"":38,""hit0"":50}",82
"0x2ba73bb9fe852876baf1a897bd6b1caaeba79093","{""TOKAU"":""135000000"",""BUSD"":""0"",""BUSD-T"":""0""}","{""hit4"":0,""hit3"":1,""hit2"":8,""hit1"":19,""hit0"":17}",60
"0x3a21d4ceb4b2d78af8a99dc9b6731b6949c7fe44","{""TOKAU"":""177000000"",""BUSD"":""0"",""BUSD-T"":""0""}","{""hit4"":0,""hit3"":1,""hit2"":7,""hit1"":23,""hit0"":28}",60
"0x2107b66fc0bda0cd0888edffbc1eb0e4d25a55ba","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""50""}","{""hit4"":0,""hit3"":0,""hit2"":7,""hit1"":30,""hit0"":13}",58
"0xe5078f5598d59e9f0c608b78d1b88863b1e3f5f0","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""62""}","{""hit4"":0,""hit3"":1,""hit2"":3,""hit1"":32,""hit0"":26}",53
"0x2fd5aaa10a341a8316a7a75c32613a726d22a180","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""52""}","{""hit4"":0,""hit3"":0,""hit2"":7,""hit1"":18,""hit0"":27}",46
"0x8a9c88504b80ff254ad7ec280db4dfce4854785a","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""44""}","{""hit4"":0,""hit3"":0,""hit2"":7,""hit1"":17,""hit0"":20}",45
"0x31109d9be40b91e398e2213d162d61903411f284","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""38""}","{""hit4"":0,""hit3"":0,""hit2"":6,""hit1"":18,""hit0"":14}",42
"0x0e2b80e558cf0aa79f65fe2625a46821e46d5cc6","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""52""}","{""hit4"":0,""hit3"":0,""hit2"":6,""hit1"":17,""hit0"":29}",41
"0xf3eab2365c8689d7d429e9cf03c78b29f07907b1","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""50""}","{""hit4"":0,""hit3"":0,""hit2"":4,""hit1"":24,""hit0"":22}",40
"0xdd4417c5c422484b304bd1d097ee8c62a37e0981","{""TOKAU"":""113000000"",""BUSD"":""0"",""BUSD-T"":""2""}","{""hit4"":0,""hit3"":0,""hit2"":5,""hit1"":19,""hit0"":15}",39
"0x57ec970c59bd98a3bc591133b6b935e4cea413fb","{""TOKAU"":""63031347"",""BUSD"":""0"",""BUSD-T"":""0""}","{""hit4"":0,""hit3"":1,""hit2"":5,""hit1"":8,""hit0"":7}",37
"0x74fd6ada3a8d754d0ed8bd920dfaec0b5cc0ee07","{""TOKAU"":""101253585"",""BUSD"":""0"",""BUSD-T"":""0""}","{""hit4"":0,""hit3"":0,""hit2"":3,""hit1"":20,""hit0"":10}",32
"0x67d7ba6269c9cd2a74e6227b4b46dae5e5e28131","{""TOKAU"":""97147400"",""BUSD"":""0"",""BUSD-T"":""0""}","{""hit4"":0,""hit3"":0,""hit2"":4,""hit1"":15,""hit0"":13}",31
"0xc13e579aa5d9851f60d2f6e9c88b22fa3a0b1927","{""TOKAU"":""0"",""BUSD"":""0"",""BUSD-T"":""25""}","{""hit4"":0,""hit3"":0,""hit2"":4,""hit1"":14,""hit0"":7}",30
"0x0c5e4d76eb6410ca0f1e8a665701476a98809437","{""TOKAU"":""120000000"",""BUSD"":""0"",""BUSD-T"":""0""}","{""hit4"":0,""hit3"":0,""hit2"":2,""hit1"":20,""hit0"":18}",28
